Card Name,Card Number,Suit,Keywords,Summary,In Love Meaning,Blessing Card,Blessing Meaning,Duty Card,Duty Meaning
Ace of Hearts,1/52,Hearts,"['Angelic Purity', 'Creating Love', 'New Beginnings']","The sparkly firestarter of the deck. Represents new loving beginnings, childlike purity, visionary leadership, and creativity.","This connection is a new emotional beginning. Be playful and authentic, feelings first!",3 of Hearts,"When we are grateful and give love, we can begin anew from a place of light.",Ace of Clubs,New loving endeavors must be paired with aligned action for full manifestation.
Two of Hearts,2/52,Hearts,"['Heartnership', 'Best Friends & Soulmates', 'Emotional Synergy']",The soulmate card. Focuses on emotional interdependence and harmony between hearts.,Congratulations! This is one of the most delicious vibes ever. You’re in for sweetness and joy.,Ace of Clubs,Confidence in your own beliefs and self-expression attracts true connection.,Ace of Clubs,Authentic expression leads to shared love — a loop that fortifies itself.
Three of Hearts,3/52,Hearts,"['Emotional Expansion', 'Explosions of Love', 'The Overflowing Heart']","Represents wide, intense emotional range. It's about expressing and processing kaleidoscopic feelings with childlike wonder.",You are meant to expand the heart's energy. You’re feeling everything deeply—share it!,Queen of Clubs,Expanding the heart is easier when the mind has a safe space for self-expression.,Ace of Hearts,"To expand love, look through the eyes of a child—see the inner child in others."
Four of Hearts,4/52,Hearts,"['The Home of the Heart', 'Builder of Love', 'Emotional Strength']","Represents foundations of safety and kindness, called the Marriage card. Teaches us to build calm and kind connections.","You’re being asked to make love real—kind, calm, safe, and deeply nourishing.",Ten of Diamonds,Confidence and satisfaction are ensured when following the heart.,Four of Diamonds,"To build love, you must work hard and be consistent—heart, mind, body, soul."
Five of Hearts,5/52,Hearts,"['The Open Heart', 'Love-ventures', 'Emotional Freedom']","Represents the opening heart. Curious and playful, it seeks truth and freedom through emotional exploration and flow.",You are ready to change your emotional pattern. Your heart seeks freedom—follow the flow.,Five of Clubs,Open minds help open hearts. Perspective fosters emotional openness.,Four of Diamonds,Authenticity must be backed with aligned action to strengthen emotional truth.
Six of Hearts,6/52,Hearts,"['Warrior of Peace', 'Balancing the Heart', 'Emotional Karma']","Peacemaker card. Balances emotion and justice, with karmic lessons about choosing real emotional peace over pseudo-conflict.",Your emotions matter. Discern what keeps you from peace and release what doesn’t serve.,Three of Diamonds,Fortune favors the peaceful and honest. Admiration follows inner truth.,Four of Clubs,Express emotional needs intelligently and with dignity for greater stability.
Seven of Hearts,7/52,Hearts,"['Spiritual Love', 'Heart Alchemy', 'Emotional Temptation']",Bridge card of the lower and higher hearts. Inspires others with joyful charm but must learn to alchemize emotions with maturity.,You are here to help others grow in love. Rise above emotional temptations and lead with heart.,Ace of Hearts,Unconditional love and curiosity fuel the joyful essence of this card.,Eight of Hearts,"When you rise in love, you help humanity evolve—do it with awareness."
Eight of Hearts,8/52,Hearts,"['The Power of Love', 'Infinite Oneness', 'Emotional Control']","Represents unity, compassion, and emotional infinity. Offers opportunities to surrender, accept, forgive, and love deeply.",Celebrate the beauty of love. Stay devoted to dreams and use your emotional power wisely.,Seven of Hearts,Joy and youthfulness help turn emotional conviction into magnetic strength.,Seven of Hearts,Only love can save us in the darkest moments—devotion is the key.
Nine of Hearts,9/52,Hearts,"['Dragon Heart', 'The Giver of Love', 'Emotional Revolution']",Represents spiritual battles of love and the courage to release what no longer serves. It transforms love into something deeper.,You’re undergoing spiritual evolution. Let go of outdated love to make room for something more real.,Seven of Hearts,Learn how to love better through the challenges. They lead to depth.,Seven of Hearts,Act with higher love values in mind. Renewal of love fuels humanity’s growth.
Ten of Hearts,10/52,Hearts,"['The Teacher of Love', 'Emotional Maturation', 'Social Butterfly-ing']","Teaches emotional maturity through embodiment. Inspires others by walking the path of love, kindness, and connection.","You are emotionally complete or heading there. Share love as leadership, with heart.",Five of Hearts,Emotional travel and openness expand love’s capacity to mature.,Jack of Clubs,Share love lessons creatively—lead by living it in your own unique way.
Jack of Hearts,11/52,Hearts,"['Sacrificial Love', 'Creative Compassion', 'Emotional Enthusiasm']","Overflowing with brilliance and joy, the Jack of Hearts represents selfless love and service. It teaches that giving with a full heart attracts divine rewards.",This person is teaching you to give without expectation. Love flows freely when it’s genuine.,Self,The Jack must realize it is love incarnate and give from that place without external validation.,Self,One of three fixed karmic cards. Its duty is solely to itself—to live as a being of love and light.
Queen of Hearts,12/52,Hearts,"['The Dreamy Muse', 'In Service to Love', 'Emotional Protection']","The most inspiring card, representing divine feminine energy. Offers nurturing, emotional care, and creative love through gentle, magnetic leadership.","You’re seen as a muse—divine, magical, and maternal. Your role is to lead through emotional wisdom.",Nine of Clubs,Transform the mind lovingly in the direction of dreams. Emotional discernment empowers the Queen.,Ten of Hearts,Establish emotional authority and embody the wisdom of love to lead others.
King of Hearts,13/52,Hearts,"['Leading with Love', 'Emotional Mastery', 'Compassion & Conviction']","A fair and kind monarch who leads by example, building emotional justice and win-win connections. Known as the sacred protector of love.",You’re learning to love as a leader. Your connection is about building emotional safety and mutual respect.,Nine of Hearts,"Through loss and depth, the King becomes wiser, more compassionate, and a stronger emotional guide.",Two of Hearts,Must share heartfelt lessons through meaningful conversations—missionary-style emotional leadership.
Ace of Clubs,14/52,Clubs,"['Mental Curiosity', 'Initiator of Ideas', 'Ravenous Learner']",The Ace of Clubs is about passionate curiosity and mental independence. It seeks new experiences to expand the mind and share ideas with the world.,You're here to explore and express. Build a mental world others can rarely touch. Be bold in your learning!,Two of Hearts,Nurturing our own mind attracts people who recognize our true essence.,Two of Hearts,Authentic mental expression builds emotional connection. A closed-loop of love and mind.
Two of Clubs,15/52,Clubs,"['Mental Reciprocity', 'Deep Conversation', 'Psychic Exchange']","This card fosters deep and meaningful exchanges of thoughts and ideas. It's intuitive, artistic, and thrives on intimacy in communication.",Your minds want to talk forever. Be present. Every conversation can be a gift for both.,King of Hearts,All people are worth listening to. Emotional responsibility enhances mental exchange.,Ace of Spades,Each connection holds magical wisdom. Dig deeper and discover it together.
